"PrimerPair","Primer1","Start","End","size","n","lab"
"rabvPeru2_10_LEFT_rabvPeru2_10_RIGHT","rabvPeru2_10_LEFT",2734,3096,362,17,10
"rabvPeru2_11_LEFT_rabvPeru2_11_RIGHT","rabvPeru2_11_LEFT",2986,3412,426,48,11
"rabvPeru2_11_LEFT_rabvPeru2_12_RIGHT","rabvPeru2_11_LEFT",2986,3735,749,2,11
"rabvPeru2_11_LEFT_rabvPeru2_14_RIGHT","rabvPeru2_11_LEFT",2986,4231,1245,1,11
"rabvPeru2_12_LEFT_rabvPeru2_11_RIGHT","rabvPeru2_12_LEFT",3309,3412,103,3,12
"rabvPeru2_12_LEFT_rabvPeru2_12_RIGHT","rabvPeru2_12_LEFT",3309,3735,426,40,12
"rabvPeru2_12_LEFT_rabvPeru2_13_RIGHT","rabvPeru2_12_LEFT",3309,3982,673,1,12
"rabvPeru2_12_LEFT_rabvPeru2_14_RIGHT","rabvPeru2_12_LEFT",3309,4231,922,3,12
"rabvPeru2_13_LEFT_rabvPeru2_13_RIGHT","rabvPeru2_13_LEFT",3605,3982,377,19,13
"rabvPeru2_13_LEFT_rabvPeru2_14_RIGHT","rabvPeru2_13_LEFT",3605,4231,626,8,13
"rabvPeru2_13_LEFT_rabvPeru2_15_RIGHT","rabvPeru2_13_LEFT",3605,4520,915,21,13
"rabvPeru2_13_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_13_LEFT",3605,5100,1495,3,13
"rabvPeru2_14_LEFT_rabvPeru2_13_RIGHT","rabvPeru2_14_LEFT",3870,3982,112,1,14
"rabvPeru2_14_LEFT_rabvPeru2_14_RIGHT","rabvPeru2_14_LEFT",3870,4231,361,62,14
"rabvPeru2_14_LEFT_rabvPeru2_15_RIGHT","rabvPeru2_14_LEFT",3870,4520,650,2,14
"rabvPeru2_14_LEFT_rabvPeru2_16_RIGHT","rabvPeru2_14_LEFT",3870,4780,910,3,14
"rabvPeru2_14_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_14_LEFT",3870,5100,1230,2,14
"rabvPeru2_14_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_14_LEFT",3870,5392,1522,1,14
"rabvPeru2_15_LEFT_rabvPeru2_15_RIGHT","rabvPeru2_15_LEFT",4131,4520,389,10,15
"rabvPeru2_15_LEFT_rabvPeru2_16_RIGHT","rabvPeru2_15_LEFT",4131,4780,649,1,15
"rabvPeru2_15_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_15_LEFT",4131,5100,969,29,15
"rabvPeru2_15_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_15_LEFT",4131,5392,1261,1,15
"rabvPeru2_16_LEFT_rabvPeru2_16_RIGHT","rabvPeru2_16_LEFT",4420,4780,360,41,16
"rabvPeru2_16_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_16_LEFT",4420,5100,680,3,16
"rabvPeru2_16_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_16_LEFT",4420,5392,972,4,16
"rabvPeru2_17_LEFT_rabvPeru2_17_RIGHT","rabvPeru2_17_LEFT",4680,5100,420,1,17
"rabvPeru2_18_LEFT_rabvPeru2_18_RIGHT","rabvPeru2_18_LEFT",4989,5392,403,5,18
"rabvPeru2_18_LEFT_rabvPeru2_19_RIGHT","rabvPeru2_18_LEFT",4989,5689,700,4,18
"rabvPeru2_19_LEFT_rabvPeru2_19_RIGHT","rabvPeru2_19_LEFT",5287,5689,402,21,19
"rabvPeru2_19_LEFT_rabvPeru2_20_RIGHT","rabvPeru2_19_LEFT",5287,5984,697,1,19
"rabvPeru2_19_LEFT_rabvPeru2_21_RIGHT","rabvPeru2_19_LEFT",5287,6291,1004,1,19
"rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT","rabvPeru2_1_LEFT",11,432,421,45,1
"rabvPeru2_1_LEFT_rabvPeru2_3_RIGHT","rabvPeru2_1_LEFT",11,1075,1064,1,1
"rabvPeru2_20_LEFT_rabvPeru2_19_RIGHT","rabvPeru2_20_LEFT",5592,5689,97,1,20
"rabvPeru2_20_LEFT_rabvPeru2_20_RIGHT","rabvPeru2_20_LEFT",5592,5984,392,19,20
"rabvPeru2_20_LEFT_rabvPeru2_21_RIGHT","rabvPeru2_20_LEFT",5592,6291,699,1,20
"rabvPeru2_20_LEFT_rabvPeru2_22_RIGHT","rabvPeru2_20_LEFT",5592,6527,935,42,20
"rabvPeru2_21_LEFT_rabvPeru2_21_RIGHT","rabvPeru2_21_LEFT",5889,6291,402,57,21
"rabvPeru2_21_LEFT_rabvPeru2_22_RIGHT","rabvPeru2_21_LEFT",5889,6527,638,6,21
"rabvPeru2_21_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_21_LEFT",5889,6827,938,12,21
"rabvPeru2_21_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_21_LEFT",5889,7425,1536,2,21
"rabvPeru2_22_LEFT_rabvPeru2_21_RIGHT","rabvPeru2_22_LEFT",6159,6291,132,1,22
"rabvPeru2_22_LEFT_rabvPeru2_22_RIGHT","rabvPeru2_22_LEFT",6159,6527,368,5,22
"rabvPeru2_22_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_22_LEFT",6159,6827,668,3,22
"rabvPeru2_22_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_22_LEFT",6159,7425,1266,1,22
"rabvPeru2_23_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_23_LEFT",6424,6827,403,55,23
"rabvPeru2_23_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_23_LEFT",6424,7152,728,2,23
"rabvPeru2_23_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_23_LEFT",6424,7425,1001,4,23
"rabvPeru2_23_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_23_LEFT",6424,7984,1560,1,23
"rabvPeru2_24_LEFT_rabvPeru2_23_RIGHT","rabvPeru2_24_LEFT",6722,6827,105,2,24
"rabvPeru2_24_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_24_LEFT",6722,7152,430,92,24
"rabvPeru2_24_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_24_LEFT",6722,7425,703,2,24
"rabvPeru2_24_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_24_LEFT",6722,7734,1012,26,24
"rabvPeru2_25_LEFT_rabvPeru2_24_RIGHT","rabvPeru2_25_LEFT",7039,7152,113,1,25
"rabvPeru2_25_LEFT_rabvPeru2_25_RIGHT","rabvPeru2_25_LEFT",7039,7425,386,29,25
"rabvPeru2_25_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_25_LEFT",7039,7734,695,7,25
"rabvPeru2_25_LEFT_rabvPeru2_27_RIGHT","rabvPeru2_25_LEFT",7039,7984,945,9,25
"rabvPeru2_25_LEFT_rabvPeru2_28_RIGHT","rabvPeru2_25_LEFT",7039,8262,1223,1,25
"rabvPeru2_25_LEFT_rabvPeru2_31_RIGHT","rabvPeru2_25_LEFT",7039,9165,2126,2,25
"rabvPeru2_26_LEFT_rabvPeru2_26_RIGHT","rabvPeru2_26_LEFT",7324,7734,410,42,26
