sample_id	total_reads	mapped_reads	meanReads	sd_reads	median_reads	min_reads	max_reads	basesCovered_1	basesCovered_5	basesCovered_20	basesCovered_100	basesCovered_200	nonMaskedConsensusCov	filepath
i71-2021	80994	80994	3026.014509771	2042.6595573281	2621	0	10071	11883	11879	11878	11877	11871	11826	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/71-2021.sorted.bam
34-2021	48331	48331	2481.9699739998	1326.8515573075	2420	0	6442	11880	11879	11878	11875	11394	11827	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/34-2021.sorted.bam
negative-na	1726	1726	76.605384550868	35.857060181096	76	0	197	11877	11877	11508	2668	0	5765	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/negative-na.sorted.bam
148-2021	134314	134314	4405.2531242137	3532.8732484155	3885	0	20812	11885	11880	11870	11168	11152	11329	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/148-2021.sorted.bam
18-2021	29357	29357	1388.9849869999	716.17454428532	1336	0	3573	11885	11878	11877	11874	11520	11819	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/18-2021.sorted.bam
147-2021	80949	80949	4954.5959909419	2149.7954712251	4522	0	10421	11907	11884	11881	11878	11877	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/147-2021.sorted.bam
167-2021	116174	116174	4387.4642288015	2942.6143838378	3804	0	13792	11885	11882	11878	11877	11685	11826	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/167-2021.sorted.bam
196-2021	86261	86261	3141.6926109201	3207.1631658558	1925	0	15285	11889	11881	11878	11871	11681	11805	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/196-2021.sorted.bam
12-2021	22509	22509	860.30084710224	508.0488190832	831	0	2456	11886	11878	11877	11684	11038	11590	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/12-2021.sorted.bam
93-2021	105438	105438	3630.1259750063	2440.9539885389	3379	0	12392	11893	11881	11878	11877	11701	11824	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/93-2021.sorted.bam
9-2021	12865	12865	423.19659481674	422.62044241582	305	0	1850	11762	11130	9934	8745	7579	9408	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/9-2021.sorted.bam
CNExt-2023	91143	91143	4015.7986245073	1808.4884484011	3881	0	9802	11895	11882	11878	11877	11877	11816	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/CNExt-2023.sorted.bam
187-2022	69225	69225	2996.4888870251	1581.574859067	2757	0	8914	11897	11883	11878	11877	11877	11825	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/187-2022.sorted.bam
202-2021	15010	15010	664.9734127317	317.78425774685	615	0	1728	11884	11878	11877	11685	11340	11824	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/202-2021.sorted.bam
92-2021	79461	79461	3441.2424725321	1613.6099358781	3437	0	8177	11899	11881	11878	11877	11877	11823	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/92-2021.sorted.bam
174-2021	67146	67146	2643.2101820012	1670.8669922813	2350	0	8952	11888	11881	11878	11873	11674	11827	/home3/sk312p/task_dir/projects/Renzo/Peru_aqp13/Artic-nf/results_50/medaka/174-2021.sorted.bam
