type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,6.92.3-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-1,-16.42166406199993,-72.23804492199996,-1935071.37938147,2758628.51326469,False, , ,0, , , , , , 
TRACK,6.92.3-1,-16.42138476599996,-72.23821874999997,-1935036.59551256,2758612.38853771,False, , ,0, , , , , , 
TRACK,6.92.3-1,-16.42181835899993,-72.23893359399995,-1935078.66902204,2758526.22308064,False, , ,0, , , , , , 
TRACK,6.92.3-1,-16.42209374999993,-72.23875,-1935113.11409687,2758543.49956663,False, , ,0, , , , , , 
TRACK,6.92.3-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-2,-16.42206456485494,-72.23778955556365,-1935121.3325362,2758652.32454692,False, , ,0, , , , , , 
TRACK,6.92.3-2,-16.42174502199128,-72.23798099117609,-1935081.62628899,2758634.7167036,False, , ,0, , , , , , 
TRACK,6.92.3-2,-16.42218176520511,-72.23869594834306,-1935124.06676923,2758548.49882822,False, , ,0, , , , , , 
TRACK,6.92.3-2,-16.42249837905295,-72.23852020099862,-1935163.24008208,2758564.37175081,False, , ,0, , , , , , 
TRACK,6.92.3-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-3,-16.42240234399999,-72.237560547,-1935163.62769564,2758673.94633063,False, , ,0, , , , , , 
TRACK,6.92.3-3,-16.42211914099994,-72.23774804699997,-1935128.22089351,2758656.32700511,False, , ,0, , , , , , 
TRACK,6.92.3-3,-16.42255078099992,-72.23845898399998,-1935170.11273125,2758570.62705155,False, , ,0, , , , , , 
TRACK,6.92.3-3,-16.42282226599996,-72.23828320299998,-1935204.00635768,2758587.06998892,False, , ,0, , , , , , 
TRACK,6.92.3-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-4,-16.42294243448983,-72.23823662741935,-1935218.63055381,2758590.82139215,False, , ,0, , , , , , 
TRACK,6.92.3-4,-16.42317616325665,-72.23807929212391,-1935247.88325599,2758605.65506678,False, , ,0, , , , , , 
TRACK,6.92.3-4,-16.42274783622767,-72.23734760012228,-1935206.63086887,2758693.65736918,False, , ,0, , , , , , 
TRACK,6.92.3-4,-16.42246574996126,-72.23748620588643,-1935171.946894,2758681.54558361,False, , ,0, , , , , , 
TRACK,6.92.3-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-5,-16.42322851599994,-72.23703710899997,-1935266.63318388,2758722.68669432,False, , ,0, , , , , , 
TRACK,6.92.3-5,-16.42294335899993,-72.23720898399995,-1935231.18680372,2758706.85668655,False, , ,0, , , , , , 
TRACK,6.92.3-5,-16.42348437499993,-72.23806640599996,-1935284.10096385,2758603.2419568,False, , ,0, , , , , , 
TRACK,6.92.3-5,-16.42374804699994,-72.23789843699996,-1935316.98600007,2758618.90045008,False, , ,0, , , , , , 
TRACK,6.92.3-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-6,-16.42408371610608,-72.23760765693284,-1935359.78270122,2758647.52354914,False, , ,0, , , , , , 
TRACK,6.92.3-6,-16.42363187910309,-72.23687351600755,-1935315.80982869,2758736.09764739,False, , ,0, , , , , , 
TRACK,6.92.3-6,-16.42335855512171,-72.23702384650993,-1935282.0088644,2758722.55218946,False, , ,0, , , , , , 
TRACK,6.92.3-6,-16.42388622903166,-72.23790206750832,-1935333.10970154,2758616.75612946,False, , ,0, , , , , , 
TRACK,6.92.3-7, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-7,-16.42413867199997,-72.23686914099994,-1935375.15932921,2758730.23044185,False, , ,0, , , , , , 
TRACK,6.92.3-7,-16.42387304699997,-72.23705273399996,-1935341.85618976,2758712.83233664,False, , ,0, , , , , , 
TRACK,6.92.3-7,-16.42413867199997,-72.23748046899992,-1935367.75347047,2758661.19639746,False, , ,0, , , , , , 
TRACK,6.92.3-7,-16.42435903790313,-72.23718492903453,-1935397.11722789,2758691.80410117,False, , ,0, , , , , , 
TRACK,6.92.3-8, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-8,-16.42431445299996,-72.23631249999995,-1935402.46994931,2758790.88265763,False, , ,0, , , , , , 
TRACK,6.92.3-8,-16.42403710899998,-72.23648242199994,-1935367.96108549,2758775.17555679,False, , ,0, , , , , , 
TRACK,6.92.3-8,-16.42439648399994,-72.23705859399998,-1935403.02903483,2758705.60040271,False, , ,0, , , , , , 
TRACK,6.92.3-8,-16.42459570299997,-72.23676171899997,-1935429.93489459,2758736.62422497,False, , ,0, , , , , , 
TRACK,6.92.3-9, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-9,-16.42469268962915,-72.23607328862123,-1935449.62317462,2758813.14764148,False, , ,0, , , , , , 
TRACK,6.92.3-9,-16.42442115799523,-72.23625139440804,-1935415.69513443,2758796.4435708,False, , ,0, , , , , , 
TRACK,6.92.3-9,-16.42467235523324,-72.23665171934542,-1935440.23611581,2758748.08370916,False, , ,0, , , , , , 
TRACK,6.92.3-9,-16.42485684314877,-72.23635207594089,-1935465.45210714,2758779.60498846,False, , ,0, , , , , , 
TRACK,6.92.3-10, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-10,-16.42510115426211,-72.23575127259704,-1935501.3165875,2758844.38365775,False, , ,0, , , , , , 
TRACK,6.92.3-10,-16.42482464431615,-72.23596524900705,-1935466.37134204,2758823.69155455,False, , ,0, , , , , , 
TRACK,6.92.3-10,-16.42495478129405,-72.23619137638069,-1935478.85818372,2758796.52250794,False, , ,0, , , , , , 
TRACK,6.92.3-10,-16.4251724832225,-72.23585935320907,-1935508.35285219,2758831.28323219,False, , ,0, , , , , , 
TRACK,6.92.3-11, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-11,-16.42506997241175,-72.23572128104031,-1935498.03156504,2758848.1618988,False, , ,0, , , , , , 
TRACK,6.92.3-11,-16.42479095127,-72.23529181299531,-1935470.58839896,2758900.16240934,False, , ,0, , , , , , 
TRACK,6.92.3-11,-16.42450974569552,-72.23523201406169,-1935438.41065607,2758910.44540887,False, , ,0, , , , , , 
TRACK,6.92.3-11,-16.42443181023323,-72.2352811602736,-1935428.69641447,2758905.87390973,False, , ,0, , , , , , 
TRACK,6.92.3-11,-16.42479487250931,-72.23589842999897,-1935463.69748309,2758831.61082644,False, , ,0, , , , , , 
TRACK,6.92.3-12, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-12,-16.42463307500947,-72.23597760740662,-1935443.80726314,2758824.70079918,False, , ,0, , , , , , 
TRACK,6.92.3-12,-16.42424014674823,-72.23532159696782,-1935405.78102876,2758903.71360498,False, , ,0, , , , , , 
TRACK,6.92.3-12,-16.42394937664391,-72.23549715385668,-1935369.6326948,2758887.53879036,False, , ,0, , , , , , 
TRACK,6.92.3-12,-16.42436114687117,-72.2361434063229,-1935409.98190694,2758809.39145042,False, , ,0, , , , , , 
TRACK,6.92.3-13, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-13,-16.42387665057518,-72.23555702146187,-1935360.39811449,2758881.69111595,False, , ,0, , , , , , 
TRACK,6.92.3-13,-16.42359711511207,-72.23572438401452,-1935325.66365343,2758866.30048311,False, , ,0, , , , , , 
TRACK,6.92.3-13,-16.42375815643599,-72.23598530541886,-1935341.34508127,2758834.81422339,False, , ,0, , , , , , 
TRACK,6.92.3-13,-16.42403936961362,-72.23580230259738,-1935376.46526115,2758851.94995734,False, , ,0, , , , , , 
TRACK,6.92.3-14, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-14,-16.42426624065461,-72.23620670658696,-1935398.11062422,2758803.43459342,False, , ,0, , , , , , 
TRACK,6.92.3-14,-16.42412581928804,-72.2359858128701,-1935384.35694778,2758830.14176983,False, , ,0, , , , , , 
TRACK,6.92.3-14,-16.42384653849751,-72.23614632803348,-1935349.73535071,2758815.52122334,False, , ,0, , , , , , 
TRACK,6.92.3-14,-16.42398014333673,-72.2363907374793,-1935362.40663462,2758786.24411121,False, , ,0, , , , , , 
TRACK,6.92.3-15, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-15,-16.42370430963189,-72.23613354180823,-1935333.24892246,2758818.75043414,False, , ,0, , , , , , 
TRACK,6.92.3-15,-16.42342598368298,-72.23629725900183,-1935298.70032333,2758803.75616011,False, , ,0, , , , , , 
TRACK,6.92.3-15,-16.42353124534782,-72.23647952930271,-1935308.80822081,2758781.85191265,False, , ,0, , , , , , 
TRACK,6.92.3-15,-16.42382816215293,-72.23628946617386,-1935345.85114924,2758799.58794032,False, , ,0, , , , , , 
TRACK,6.92.3-16, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-16,-16.42309960899997,-72.23599218699997,-1935264.2089978,2758842.30339351,False, , ,0, , , , , , 
TRACK,6.92.3-16,-16.42282226599996,-72.23617382799995,-1935229.55827116,2758825.2725323,False, , ,0, , , , , , 
TRACK,6.92.3-16,-16.42325781199996,-72.23688867199996,-1935271.85907626,2758739.0813106,False, , ,0, , , , , , 
TRACK,6.92.3-16,-16.42352734399999,-72.23669726599996,-1935305.71399889,2758757.31285048,False, , ,0, , , , , , 
TRACK,6.92.3-17, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-17,-16.42272460899995,-72.23621484399996,-1935217.63513446,2758821.86650413,False, , ,0, , , , , , 
TRACK,6.92.3-17,-16.42245312499995,-72.23639257799994,-1935183.71735879,2758805.20316299,False, , ,0, , , , , , 
TRACK,6.92.3-17,-16.42287304699994,-72.23713281199997,-1935223.88277968,2758716.34094649,False, , ,0, , , , , , 
TRACK,6.92.3-17,-16.42317187499999,-72.23694726599994,-1935261.0943419,2758733.54318521,False, , ,0, , , , , , 
TRACK,6.92.3-18, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-18,-16.42226953099993,-72.23652148399998,-1935160.67460897,2758792.9505845,False, , ,0, , , , , , 
TRACK,6.92.3-18,-16.42198437499995,-72.23669335899997,-1935125.22825438,2758777.12029768,False, , ,0, , , , , , 
TRACK,6.92.3-18,-16.42242382799999,-72.23739453099995,-1935168.1523556,2758692.4241853,False, , ,0, , , , , , 
TRACK,6.92.3-18,-16.42270117199995,-72.23721874999995,-1935202.73181206,2758708.79353284,False, , ,0, , , , , , 
TRACK,6.92.3-19, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-19,-16.42190624999995,-72.23675195299995,-1935115.37756632,2758771.48399795,False, , ,0, , , , , , 
TRACK,6.92.3-19,-16.42163085899994,-72.23693359399994,-1935080.95555244,2758754.42817078,False, , ,0, , , , , , 
TRACK,6.92.3-19,-16.42206640599995,-72.237646484,-1935123.28093478,2758668.45792572,False, , ,0, , , , , , 
TRACK,6.92.3-19,-16.42233789099993,-72.237470703,-1935157.17476777,2758684.90094786,False, , ,0, , , , , , 
TRACK,6.92.3-20, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-20,-16.42153710899992,-72.23699609399995,-1935069.22940012,2758748.54683568,False, , ,0, , , , , , 
TRACK,6.92.3-20,-16.42126171899998,-72.23717187499994,-1935034.87858478,2758732.1526025,False, , ,0, , , , , , 
TRACK,6.92.3-20,-16.42169726599996,-72.23788476599998,-1935077.20420024,2758646.18234978,False, , ,0, , , , , , 
TRACK,6.92.3-20,-16.42196679699998,-72.23770703099997,-1935110.8929796,2758662.8706936,False, , ,0, , , , , , 
TRACK,6.92.3-21, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-21,-16.42115039099998,-72.23723828099997,-1935021.0484667,2758726.05072509,False, , ,0, , , , , , 
TRACK,6.92.3-21,-16.42090039099998,-72.23741406199997,-1934989.66847082,2758709.33771304,False, , ,0, , , , , , 
TRACK,6.92.3-21,-16.42133398399994,-72.23812304699999,-1935031.81301363,2758623.83318096,False, , ,0, , , , , , 
TRACK,6.92.3-21,-16.42160156199998,-72.23795117199997,-1935065.20221076,2758639.88442623,False, , ,0, , , , , , 
TRACK,6.92.3-22, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-22,-16.42062695299995,-72.23633789099995,-1934970.71021519,2758834.29844095,False, , ,0, , , , , , 
TRACK,6.92.3-22,-16.42034960899997,-72.23651367199994,-1934936.13064161,2758817.92849174,False, , ,0, , , , , , 
TRACK,6.92.3-22,-16.42077148399994,-72.23720898399995,-1934977.06982991,2758734.11427714,False, , ,0, , , , , , 
TRACK,6.92.3-22,-16.42105859399993,-72.23703124999997,-1935012.81553844,2758750.58213775,False, , ,0, , , , , , 
TRACK,6.92.3-23, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-23,-16.42100781199997,-72.23612890599999,-1935017.80376515,2758853.11878033,False, , ,0, , , , , , 
TRACK,6.92.3-23,-16.42074609399998,-72.23629492199996,-1934985.17069151,2758837.65560795,False, , ,0, , , , , , 
TRACK,6.92.3-23,-16.42112890599998,-72.23698242199998,-1935021.63373713,2758755.21373466,False, , ,0, , , , , , 
TRACK,6.92.3-23,-16.42142578099998,-72.23680859399997,-1935058.47477035,2758771.11780595,False, , ,0, , , , , , 
TRACK,6.92.3-24, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-24,-16.42177432618056,-72.23655126063578,-1935102.37301319,2758795.80325892,False, , ,0, , , , , , 
TRACK,6.92.3-24,-16.42135828944095,-72.23585164257275,-1935062.16974178,2758880.03075451,False, , ,0, , , , , , 
TRACK,6.92.3-24,-16.42107339115942,-72.23604202546554,-1935026.52920966,2758862.10694525,False, , ,0, , , , , , 
TRACK,6.92.3-24,-16.42148362612983,-72.23671041405561,-1935066.43212238,2758781.47899312,False, , ,0, , , , , , 
TRACK,6.92.3-25, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-25,-16.42173903988675,-72.23565687165612,-1935109.07864861,2758897.24690996,False, , ,0, , , , , , 
TRACK,6.92.3-25,-16.42147193785766,-72.23577058835787,-1935076.44897138,2758887.7576122,False, , ,0, , , , , , 
TRACK,6.92.3-25,-16.42189303174999,-72.23651896266975,-1935116.65326844,2758797.96072303,False, , ,0, , , , , , 
TRACK,6.92.3-25,-16.42217379501009,-72.23633691917114,-1935151.70887983,2758814.9944509,False, , ,0, , , , , , 
TRACK,6.92.3-26, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-26,-16.42137203986379,-72.23503949337962,-1935073.61683951,2758971.57240302,False, , ,0, , , , , , 
TRACK,6.92.3-26,-16.42111759400609,-72.23521611274629,-1935041.70586046,2758954.82074838,False, , ,0, , , , , , 
TRACK,6.92.3-26,-16.42141003314873,-72.2357123316762,-1935069.91154397,2758895.11336566,False, , ,0, , , , , , 
TRACK,6.92.3-26,-16.42166421660149,-72.23552356082759,-1935101.93890255,2758913.24049717,False, , ,0, , , , , , 
TRACK,6.92.3-27, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-27,-16.4213161380627,-72.23577433120386,-1935058.17435726,2758889.29038011,False, , ,0, , , , , , 
TRACK,6.92.3-27,-16.4208843219684,-72.23505373470323,-1935016.37889441,2758976.0856522,False, , ,0, , , , , , 
TRACK,6.92.3-27,-16.42059364550354,-72.23521616400154,-1934980.40068717,2758961.39102962,False, , ,0, , , , , , 
TRACK,6.92.3-27,-16.421033538551,-72.23593756744098,-1935023.1316047,2758874.40332297,False, , ,0, , , , , , 
TRACK,6.92.3-28, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-28,-16.42096117203415,-72.23601175158304,-1935013.76579413,2758866.93411267,False, , ,0, , , , , , 
TRACK,6.92.3-28,-16.42051058273194,-72.23527312398836,-1934969.99195023,2758956.00112145,False, , ,0, , , , , , 
TRACK,6.92.3-28,-16.42023001867934,-72.23546149863628,-1934934.88275454,2758938.2494634,False, , ,0, , , , , , 
TRACK,6.92.3-28,-16.42067827042449,-72.23618129384165,-1934978.61140318,2758851.33858101,False, , ,0, , , , , , 
TRACK,6.92.3-29, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-29,-16.42058507909458,-72.23624509976013,-1934966.93474605,2758845.30267406,False, , ,0, , , , , , 
TRACK,6.92.3-29,-16.42014742581086,-72.23550584687479,-1934924.6817963,2758934.27784233,False, , ,0, , , , , , 
TRACK,6.92.3-29,-16.41985571924739,-72.23570512964208,-1934888.13684849,2758915.43403673,False, , ,0, , , , , , 
TRACK,6.92.3-29,-16.42031470337385,-72.23641887292823,-1934933.19478547,2758829.0720103,False, , ,0, , , , , , 
TRACK,6.92.3-30, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-30,-16.42006025891455,-72.23537923464248,-1934916.01650029,2758949.66997002,False, , ,0, , , , , , 
TRACK,6.92.3-30,-16.41961882545568,-72.23466118273795,-1934873.06436342,2759036.29915123,False, , ,0, , , , , , 
TRACK,6.92.3-30,-16.41934328760736,-72.23483622400725,-1934838.70464682,2759019.98989715,False, , ,0, , , , , , 
TRACK,6.92.3-30,-16.41976989220081,-72.23555052097325,-1934879.96740044,2758933.97093655,False, , ,0, , , , , , 
TRACK,6.92.3-31, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.3-31,-16.42042753003923,-72.23512582395374,-1934962.05867913,2758973.67788173,False, , ,0, , , , , , 
TRACK,6.92.3-31,-16.41999239654064,-72.23444542494063,-1934919.38780727,2759055.97599162,False, , ,0, , , , , , 
TRACK,6.92.3-31,-16.41969841626273,-72.23463161313342,-1934882.73510787,2759038.63952664,False, , ,0, , , , , , 
TRACK,6.92.3-31,-16.4201448005543,-72.23532712865331,-1934926.53945426,2758954.49321044,False, , ,0, , , , , , 
TRACK,6.92.3-32, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
