type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,6.92.25-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.25-1,-16.32427776968211,-72.17157863147683,-1924478.65549632,2767359.0673539,False, , ,0, , , , , , 
TRACK,6.92.25-1,-16.32177185037274,-72.17012196202162,-1924202.93128167,2767555.11910567,False, , ,0, , , , , , 
TRACK,6.92.25-1,-16.32038196119544,-72.17071191316022,-1924033.09356448,2767505.83938743,False, , ,0, , , , , , 
TRACK,6.92.25-1,-16.32370479344017,-72.17251541834703,-1924400.2516549,2767260.35217304,False, , ,0, , , , , , 
TRACK,6.92.25-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.25-2,-16.32496108439229,-72.16825722905172,-1924598.8271109,2767725.95408927,False, , ,0, , , , , , 
TRACK,6.92.25-2,-16.32589277149937,-72.16645050897618,-1924729.75452541,2767918.51064242,False, , ,0, , , , , , 
TRACK,6.92.25-2,-16.32411759362044,-72.16549336296109,-1924533.52844199,2768048.95322576,False, , ,0, , , , , , 
TRACK,6.92.25-2,-16.32324436977602,-72.16730997527038,-1924409.32524884,2767854.54196803,False, , ,0, , , , , , 
TRACK,6.92.25-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.25-3,-16.32677191093642,-72.16467701783323,-1924854.13265647,2768107.96854559,False, , ,0, , , , , , 
TRACK,6.92.25-3,-16.32505944425628,-72.16363520943021,-1924666.2724299,2768247.19946959,False, , ,0, , , , , , 
TRACK,6.92.25-3,-16.32417956641451,-72.16543416854824,-1924541.49951767,2768054.86807804,False, , ,0, , , , , , 
TRACK,6.92.25-3,-16.32588285026968,-72.16641005221121,-1924729.08269174,2767923.20821178,False, , ,0, , , , , , 
TRACK,6.92.25-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.25-4,-16.32594732610974,-72.16179707567809,-1924792.46072392,2768443.85808428,False, , ,0, , , , , , 
TRACK,6.92.25-4,-16.32507577151672,-72.16360317492966,-1924668.57148253,2768250.61609318,False, , ,0, , , , , , 
TRACK,6.92.25-4,-16.32680604135658,-72.16455103362716,-1924859.65289692,2768121.78208808,False, , ,0, , , , , , 
TRACK,6.92.25-4,-16.32768920927146,-72.16276562023374,-1924984.6513042,2768312.53630547,False, , ,0, , , , , , 
TRACK,6.92.25-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,6.92.25-5,-16.32860066000181,-72.16091709485248,-1925113.72890896,2768510.06930809,False, , ,0, , , , , , 
TRACK,6.92.25-5,-16.3268570838765,-72.1599575946499,-1924921.23063452,2768640.39388085,False, , ,0, , , , , , 
TRACK,6.92.25-5,-16.32594457198033,-72.16177220868701,-1924792.43931164,2768446.70364648,False, , ,0, , , , , , 
TRACK,6.92.25-5,-16.32768138010231,-72.16274697224728,-1924983.96051428,2768314.74243979,False, , ,0, , , , , , 
TRACK,6.92.25-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
