sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AY340703	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL2100
AY340704	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL300
AY340705	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL25200
AY340706	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL27700
AY340707	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL2198
AY340708	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL500
AY340709	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL22000
AY340710	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL6997
AY340711	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL3897
AY340712	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Felis catus	14602205	BOL9448
AY340713	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9467
AY340714	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Bos taurus	14602205	BOL8154
AY340715	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL1798
