Sample_name	Total_sequence_length	Sequence_length_without_N
90_2021_aqp14	11923	11826
61_2021_aqp14	11923	11826
56_2021_aqp14	11923	11580
40_2021_aqp14	11923	11826
31_2021_aqp14	11923	11820
30_2021_aqp14	11923	11821
231_2021_aqp14	11923	11801
219_2022_aqp14	11923	11822
173_2023_aqp14	11923	11819
172_2022_aqp14	11923	11812
158_2022_aqp14	11923	11825
147_2022_aqp14	11923	10752
145_2022_aqp14	11923	11827
126_2021_aqp14	11923	11816
73_2021_aqp12	11923	10564
71_2021_aqp12	11923	10564
68_2021_aqp12	11923	10563
52_2021_aqp12	11923	10565
34_2021_aqp12	11923	10565
251_2021_aqp12	11923	10565
250_2021_aqp12	11923	10565
236_2022_aqp12	11923	9755
202_2021_aqp12	11923	10563
147_2021_aqp12	11923	10565
107_2021_aqp12	11923	10563
1101786_meta-illumina	11923	11869
560_2015_illumina	11911	11884
375_2017_illumina	11913	11893
3553_2010_illumina	11922	11904
182_2019_illumina	11890	11273
121_2019_illumina	11912	11791
107_2018_illumina	11918	10500
KU938752	11923	11874
KU938829	11923	11842
