sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB083792	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	dg2
AB083793	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Felis catus	12637081	BRct3
AB083794	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Felis catus	12637081	BRct5
AB083795	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Homo sapiens	12637081	BRhm6
AB083796	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Poços de Caldas	1987	1987	1987	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg10
AB083797	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Mogi Guaçu	1989	1989	1989	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg12
AB083798	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg15
AB083799	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Bos	12637081	BRbv17
AB083800	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bela Vista	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Equus caballus	12637081	BRhr18
AB083801	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goianira	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Homo sapiens	12637081	BRhm23
AB083802	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Nova Aurora	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Sus	12637081	BRpg28
AB110656	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	16-Jan-2009	Felis catus	15297743	BRct3
AB110657	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	10-Jan-2009	Homo sapiens	15297743	BRhm6
AB110658	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1987	1987	1987	2066	18-Nov-2003	16-Jan-2009	Canis lupus familiaris	15297743	BRdg10
AB110659	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1989	1989	1989	2066	18-Nov-2003	16-Jan-2009	Canis lupus familiaris	15297743	BRdg12
AB110660	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	16-Jan-2009	Equus caballus	15297743	BRhr18
AB110661	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1998	1998	1998	2066	18-Nov-2003	16-Jan-2009	Sus scrofa domesticus	15297743	BRpg28
AB206407	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx1
AB206408	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx2
AB206409	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx3
AB206410	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx4
AB206411	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	2005	2005	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes vulpes	16599183	BR-Pfx5
AB206412	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx7
AB206413	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx8
AB207884	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	21-Sep-2005	14-Jul-2016	Vulpes	-	BR-Pfx6
AB247397	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Presidebte Dutra	2004	2004	2004	599	02-Jun-2006	14-Jul-2016	Bos taurus	16773238	BRbv644
