QueryName	ReferenceStart	ReferenceEnd	PrimerPair	Primer1	Primer1Start	Primer2	Primer2Start	IsSecondary	IsSupplementary	Start	End	CorrectlyPaired
c5466a00-be2a-4b14-9c59-caf042c6013b	11	388	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	44	False	False	11	432	1
4a4bda48-144c-4abb-8680-42785acdec8b	11	432	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	0	False	False	11	432	1
48d45b49-6c81-4630-959c-cc1c22f9eb89	11	1075	rabvPeru2_1_LEFT_rabvPeru2_3_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_3_RIGHT	0	False	False	11	1075	0
77b75008-015b-4a43-8fb8-e7b14070e811	11	432	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	0	False	False	11	432	1
44d229b2-db84-418a-935b-154d15d076f8	11	415	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	17	False	False	11	432	1
6904b6ea-5822-4424-bfc7-46aab04e75b7	11	415	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	17	False	False	11	432	1
a91ab706-d5b4-41b8-beed-add1fc9f24e0	11	420	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	12	False	False	11	432	1
9fb21674-3741-4be7-905f-4060c08f72be	11	432	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	0	False	False	11	432	1
f98e70d7-e73f-456c-8209-734ff82a7a69	11	405	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	27	False	False	11	432	1
56650e61-cd2b-4370-98bb-cd68238b74bc	11	432	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	0	False	False	11	432	1
d8cd65ef-c862-40a0-8ad7-3c690ea1c1f6	11	431	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	1	False	False	11	432	1
8b1443b5-af80-40d7-8e11-2d07ace665d4	11	370	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	62	False	False	11	432	1
b1dd01e9-19be-4355-8133-ee6597ec5b9a	11	423	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	9	False	False	11	432	1
d3c3e14b-2594-425e-8616-bfe46f524612	11	423	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	9	False	False	11	432	1
ace1354a-c05f-4ec0-8333-e780251f9ccb	11	406	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	26	False	False	11	432	1
c3ff1207-d3c0-4401-973f-2c60d8869cb1	11	432	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	0	False	False	11	432	1
53a20789-125c-458d-8021-22004cb38e08	11	423	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	9	False	False	11	432	1
114668e1-bca2-4dbc-9fbf-e59ca4ea238e	11	418	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	14	False	False	11	432	1
ee39ac6e-606e-467b-b865-553467dd7472	11	431	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	1	False	False	11	432	1
5c9b8af6-d774-4c39-beff-3023fb236ea8	11	336	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	96	False	False	11	432	1
bedef187-b838-4667-a82f-9865de818e3f	11	428	rabvPeru2_1_LEFT_rabvPeru2_1_RIGHT	rabvPeru2_1_LEFT	0	rabvPeru2_1_RIGHT	4	False	False	11	432	1
