sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	maddog_lineage
AB083792	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	dg2	NULL
AB083793	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Felis catus	12637081	BRct3	Cosmopolitan AM3a_A1.1.1
AB083794	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Felis catus	12637081	BRct5	Cosmopolitan AM3a_A1.1.1
AB083795	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Homo sapiens	12637081	BRhm6	Cosmopolitan AM3a_A1.1.1
AB083796	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Poços de Caldas	1987	1987	1987	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg10	NULL
AB083797	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Mogi Guaçu	1989	1989	1989	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg12	NULL
AB083798	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Canis lupus familiaris	12637081	BRdg15	NULL
AB083799	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Bos	12637081	BRbv17	NULL
AB083800	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bela Vista	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Equus caballus	12637081	BRhr18	NULL
AB083801	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goianira	1999	1999	1999	1394	17-Apr-2002	26-Jul-2016	Homo sapiens	12637081	BRhm23	Cosmopolitan AM3a_B1
